draw,district,total_pop,chain,pop_overlap,total_vap,plan_dev,comp_edge,comp_polsby,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_20_rep_tru,pre_20_dem_bid,adv_20,arv_20,county_splits,ndv,nrv,ndshare,e_dvs,pr_dem,e_dem,pbias,egap
39,1,893894, 1,0.9798,713446,0.003304871,0.944,0.36608,803168,36273,11336,1617, 6181,156,2113,33050,647456,28981, 7861,1420,5069,119,1271,21269,271494,112152,112152,271494,0,112152,271494,0.2923,0.2923,0,0,0,0.104
39,2,899822, 1,0.9798,719486,0.003304871,0.944,0.13906,795666,28476,23491,1570, 8722,273,2539,39085,645584,23021,15622,1341,7164,214,1710,24830,273888,123832,123832,273888,0,123832,273888,0.3114,0.3114,0,0,0,0.104
40,1,894189, 1,0.8964,712595,0.002975945,0.944,0.27226,803047,35449,11312,1635, 6432,150,2174,33990,646834,28080, 7780,1438,5247,118,1332,21766,270542,113471,113471,270542,0,113471,270542,0.2955,0.2955,0,0,0,0.104
40,2,899527, 1,0.8964,720337,0.002975945,0.944,0.14356,795787,29300,23515,1552, 8471,279,2478,38145,646206,23922,15703,1323,6986,215,1649,24333,274840,122513,122513,274840,0,122513,274840,0.3083,0.3083,0,0,0,0.104
41,1,893253, 1,0.9044,711599,0.004019588,0.944,0.27819,802924,35017,11197,1611, 6417,163,2160,33764,646537,27667, 7684,1420,5246,129,1331,21585,270210,113349,113349,270210,0,113349,270210,0.2955,0.2955,0,0,0,0.104
41,2,900463, 1,0.9044,721333,0.004019588,0.944,0.13184,795910,29732,23630,1576, 8486,266,2492,38371,646503,24335,15799,1341,6987,204,1650,24514,275172,122635,122635,275172,0,122635,275172,0.3083,0.3083,0,0,0,0.104
42,1,893718, 1,0.9047,712164,0.003501112,0.944,0.24603,802572,35461,11321,1635, 6426,146,2186,33971,646417,28077, 7807,1432,5246,114,1328,21743,270734,113651,113651,270734,0,113651,270734,0.2957,0.2957,0,0,0,0.104
42,2,899998, 1,0.9047,720768,0.003501112,0.944,0.15675,796262,29288,23506,1552, 8477,283,2466,38164,646623,23925,15676,1329,6987,219,1653,24356,274648,122333,122333,274648,0,122333,274648,0.3082,0.3082,0,0,0,0.104
43,1,896634, 1,0.8884,714535,0.000249761,0.948,0.25291,805353,35535,11361,1635, 6402,152,2199,33997,648736,28145, 7801,1430,5223,119,1338,21743,273344,113744,113744,273344,0,113744,273344,0.2938,0.2938,0,0,0,0.104
43,2,897082, 1,0.8884,718397,0.000249761,0.948,0.16021,793481,29214,23466,1552, 8501,277,2453,38138,644304,23857,15682,1331,7010,214,1643,24356,272038,122240,122240,272038,0,122240,272038,0.3100,0.3100,0,0,0,0.104
44,1,896634, 1,0.8884,714535,0.000249761,0.948,0.25291,805353,35535,11361,1635, 6402,152,2199,33997,648736,28145, 7801,1430,5223,119,1338,21743,273344,113744,113744,273344,0,113744,273344,0.2938,0.2938,0,0,0,0.104
44,2,897082, 1,0.8884,718397,0.000249761,0.948,0.16021,793481,29214,23466,1552, 8501,277,2453,38138,644304,23857,15682,1331,7010,214,1643,24356,272038,122240,122240,272038,0,122240,272038,0.3100,0.3100,0,0,0,0.104
45,1,898983, 1,0.9076,716467,0.002369383,0.940,0.28517,807771,35404,11334,1632, 6438,161,2179,34064,650671,28041, 7797,1436,5262,129,1337,21794,271920,114229,114229,271920,0,114229,271920,0.2958,0.2958,0,0,0,0.104
45,2,894733, 1,0.9076,716465,0.002369383,0.940,0.13229,791063,29345,23493,1555, 8465,268,2473,38071,642369,23961,15686,1325,6971,204,1644,24305,273462,121755,121755,273462,0,121755,273462,0.3081,0.3081,0,0,0,0.104
46,1,894150, 1,0.8690,712694,0.003019430,0.932,0.23890,802892,35587,11349,1627, 6397,150,2195,33953,646857,28224, 7783,1431,5220,119,1343,21717,271757,112897,112897,271757,0,112897,271757,0.2935,0.2935,0,0,0,0.104
46,2,899566, 1,0.8690,720238,0.003019430,0.932,0.13217,795942,29162,23478,1560, 8506,279,2457,38182,646183,23778,15700,1330,7013,214,1638,24382,273625,123087,123087,273625,0,123087,273625,0.3103,0.3103,0,0,0,0.104
47,1,892859, 1,0.8957,711870,0.004458900,0.944,0.21589,800578,36226,11600,1615, 6512,148,2267,33913,645315,28734, 8016,1410,5320,113,1368,21594,271364,115149,115149,271364,0,115149,271364,0.2979,0.2979,0,0,0,0.104
47,2,900857, 1,0.8957,721062,0.004458900,0.944,0.17871,798256,28523,23227,1572, 8391,281,2385,38222,647725,23268,15467,1351,6913,220,1613,24505,274018,120835,120835,274018,0,120835,274018,0.3060,0.3060,0,0,0,0.104
48,1,899234, 1,0.9078,716792,0.002649249,0.952,0.25566,806594,36166,11689,1621, 6533,148,2266,34217,650009,28669, 8063,1414,5343,113,1366,21815,272835,115905,115905,272835,0,115905,272835,0.2982,0.2982,0,0,0,0.104
