draw,district,total_pop,chain,pop_overlap,total_vap,plan_dev,comp_edge,comp_polsby,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_18_dem_whi,uss_18_rep_fla,gov_18_dem_rai,gov_18_rep_fun,atg_18_dem_ner,sos_18_dem_gor,sos_18_rep_cor,pre_20_dem_bid,pre_20_rep_tru,uss_20_dem_ree,uss_20_rep_wat,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,county_splits,muni_splits,ndv,nrv,ndshare,e_dvs,pr_dem,e_dem,pbias,egap
25,1,547782, 1,0.7415,434610,0.0016539409,0.9792,0.4082,145153,294659,43635,1672,22833,168,8762,30900,100918,252984,32618,1284,19204,131,6518,20953,119588, 63778,103809,48594, 90051,47398,116035,108708,39994,136294, 73128,142531, 58074, 63778,119588,45329,104650, 65602,139413,1,2,116716, 55161,0.6791,0.6801,1.0000,2.000,0,-0.25606
25,2,549597, 1,0.7415,452984,0.0016539409,0.9792,0.3703, 36948,459391,11751,1841,15534,152,2630,21350, 25070,389451, 9306,1415,12208,124,1935,13475,132937,116764,127668,95826,108071,92535,158316,138568,79298,171192,126794,186043,106781,116764,132937,89219,133156,116788,178616,1,2,146114,103000,0.5865,0.5814,1.0000,2.000,0,-0.25606
26,1,551090, 1,0.7385,437366,0.0043749698,0.9792,0.3709,145240,297730,43653,1673,22856,168,8775,30995,100964,255580,32633,1285,19222,131,6527,21024,120324, 64924,104554,49583, 90638,48359,117136,109583,40813,137217, 74315,143624, 59081, 64924,120324,46252,105477, 66699,140421,1,2,117582, 56179,0.6767,0.6776,1.0000,2.000,0,-0.25606
26,2,546289, 1,0.7385,450228,0.0043749698,0.9792,0.3426, 36861,456320,11733,1840,15511,152,2617,21255, 25024,386855, 9291,1414,12190,124,1926,13404,132201,115618,126923,94837,107484,91574,157215,137693,78480,170269,125607,184949,105774,115618,132201,88296,132329,115691,177608,1,2,145248,101982,0.5875,0.5824,1.0000,2.000,0,-0.25606
27,1,551100, 1,0.7385,437102,0.0043931951,0.9766,0.3778,146104,296304,43838,1686,23198,168,8790,31012,101512,254348,32777,1296,19482,131,6537,21019,120237, 64224,104399,48930, 90440,47880,116726,109300,40312,137055, 73638,143371, 58476, 64224,120237,45708,105216, 66058,140214,1,2,117361, 55576,0.6786,0.6797,1.0000,2.000,0,-0.25606
27,2,546279, 1,0.7385,450492,0.0043931951,0.9766,0.3571, 35997,457746,11548,1827,15169,152,2602,21238, 24476,388087, 9147,1403,11930,124,1916,13409,132288,116318,127078,95490,107682,92053,157625,137976,78980,170431,126284,185203,106379,116318,132288,88841,132590,116332,177816,1,2,145469,102585,0.5864,0.5813,1.0000,2.000,0,-0.25606
28,1,548552, 1,0.8754,444517,0.0002505971,0.9550,0.2001, 89170,365625,32377,1441,19354,167,8293,32125, 61591,312990,24536,1100,16384,127,6249,21540,127844, 76376,115303,59974,102455,54979,132214,121779,49184,154488, 83887,162021, 68233, 76376,127844,54713,117938, 76061,158254,2,2,130872, 65438,0.6667,0.6664,1.0000,2.000,0,-0.25606
28,2,548827, 1,0.8754,443077,0.0002505971,0.9550,0.2428, 92931,388425,23009,2072,19013,153,3099,20125, 64397,329445,17388,1599,15028,128,2204,12888,124682,104166,116174,84446, 95667,84954,142136,125497,70108,152998,116035,166553, 96622,104166,124682,79836,119868,106329,159775,2,2,131958, 92723,0.5873,0.5828,1.0000,2.000,0,-0.25606
29,1,550458, 1,0.7341,437262,0.0032231344,0.9805,0.4246,148836,291538,44626,1689,23901,168,8801,30899,103444,251466,33357,1298,20053,130,6542,20972,120480, 63599,104286,47821, 90596,46980,116781,109098,39295,136700, 72287,143555, 56376, 63599,120480,44699,105190, 64332,140128,1,2,117356, 54392,0.6833,0.6843,1.0000,2.000,0,-0.25606
29,2,546921, 1,0.7341,450332,0.0032231344,0.9805,0.3169, 33265,462512,10760,1824,14466,152,2591,21351, 22544,390969, 8567,1401,11359,125,1911,13456,132045,116943,127191,96599,107526,92953,157569,138178,79998,170786,127635,185019,108479,116943,132045,89849,132616,118057,177902,1,2,145474,103768,0.5837,0.5785,1.0000,2.000,0,-0.25606
