draw,district,total_pop,chain,pop_overlap,total_vap,plan_dev,comp_edge,comp_polsby,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_16_rep_ayo,uss_16_dem_has,gov_16_rep_sun,gov_16_dem_van,gov_18_rep_sun,gov_18_dem_kel,pre_20_dem_bid,pre_20_rep_tru,uss_20_dem_sha,uss_20_rep_mes,gov_20_dem_fel,gov_20_rep_sun,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,county_splits,muni_splits,ndv,nrv,ndshare,e_dvs,pr_dem,e_dem,pbias,egap
26,1,686135, 1,0.7129,563285,0.0038177055,0.9772,0.2130,19543,616802, 5281,1084,14764,165,2495,26001,13266,513259,4212, 944,11908,127,1913,17656,181823,177389,183810,182074,186257,170506,159335,134589,217317,193427,230786,173207,135327,271612,183963,176656,159335,134589,212749,194478,1,0,178284,192782,0.4805,0.4800,0.2857,0.8571,0, 0.05095
26,2,691394, 1,0.7129,557395,0.0038177055,0.9772,0.5016,39911,583847,13374,1215,20840,223,3421,28563,26534,482492,9646, 986,16081,176,2530,18950,163967,171138,169822,172576,167783,167083,143428,127770,207620,172233,219992,153023,129312,244997,167191,170266,143428,127770,190084,185641,1,0,170785,173607,0.4959,0.4952,0.5714,0.8571,0, 0.05095
27,1,685437, 1,0.6352,551527,0.0048311143,0.9755,0.2468,42137,579239,11732, 917,22100,172,3324,25816,27836,477962,8454, 733,17135,134,2459,16814,176984,166074,182354,166577,184342,156147,154887,120484,205464,186022,217596,167220,121920,264169,181226,162932,154887,120484,205803,181660,1,0,164895,187997,0.4673,0.4662,0.2857,1.0000,0,-0.02829
27,2,692092, 1,0.6352,569153,0.0048311143,0.9755,0.2098,17317,621410, 6923,1382,13504,216,2592,28748,11964,517789,5404,1197,10854,169,1984,19792,168807,182453,171278,188072,169698,181442,147877,141876,219473,179638,233181,159010,142719,252440,169927,183989,147877,141876,197030,198458,1,0,184174,178393,0.5080,0.5078,0.7143,1.0000,0,-0.02829
28,1,687358, 1,0.7120,564360,0.0020420623,0.9772,0.2074,19530,618042, 5248,1090,14732,166,2496,26054,13263,514317,4187, 948,11875,128,1920,17722,182337,177899,184357,182558,186770,171027,159793,135024,217911,193994,231355,173753,135834,272248,184488,177161,159793,135024,213332,195034,1,0,178801,193323,0.4805,0.4801,0.2857,0.8571,0, 0.05137
28,2,690171, 1,0.7120,556320,0.0020420623,0.9772,0.4381,39924,582607,13407,1209,20872,222,3420,28510,26537,481434,9671, 982,16114,175,2523,18884,163453,170628,169275,172091,167270,166562,142971,127335,207027,171666,219422,152477,128805,244361,166666,169761,142971,127335,189501,185084,1,0,170267,173067,0.4959,0.4952,0.5714,0.8571,0, 0.05137
29,1,685926, 1,0.7131,563232,0.0041211474,0.9772,0.2116,19542,616600, 5260,1093,14770,166,2499,25996,13269,513180,4194, 956,11908,128,1923,17674,181626,178125,183882,182626,186396,171004,159448,135293,218317,193185,231620,173107,136127,271496,183967,177251,159448,135293,212596,195355,1,0,179016,192735,0.4815,0.4811,0.2857,0.8571,0, 0.05119
29,2,691603, 1,0.7131,557448,0.0041211474,0.9772,0.4802,39912,584049,13395,1206,20834,222,3417,28568,26531,482571,9664, 974,16081,175,2520,18932,164165,170401,169750,172023,167644,166585,143315,127066,206621,172475,219157,153123,128512,245114,167186,169670,143315,127066,190237,184763,1,0,170053,173655,0.4948,0.4941,0.5714,0.8571,0, 0.05119
30,1,690133, 1,0.7100,566579,0.0019868910,0.9750,0.1982,19619,620519, 5325,1084,14783,168,2509,26126,13328,516338,4246, 944,11927,130,1927,17739,182749,178222,184684,182954,187123,171378,160086,135132,218251,194486,231874,174064,135887,273033,184851,177518,160086,135132,213861,195338,1,0,179100,193747,0.4804,0.4799,0.2857,0.8571,0, 0.05167
30,2,687396, 1,0.7100,554101,0.0019868910,0.9750,0.4229,39835,580130,13330,1215,20821,220,3407,28438,26472,479413,9612, 986,16062,173,2516,18867,163042,170304,168948,171696,166918,166210,142677,127227,206687,171174,218903,152166,128752,243576,166302,169404,142677,127227,188972,184780,1,0,169969,172642,0.4961,0.4954,0.5714,0.8571,0, 0.05167
