draw,district,total_pop,chain,total_vap,plan_dev,comp_edge,comp_polsby,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_16_dem_sch,uss_16_rep_car,uss_18_dem_hir,uss_18_rep_cur,gov_18_dem_ige,gov_18_rep_tup,pre_20_dem_bid,pre_20_rep_tru,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,county_splits,muni_splits,ndv,nrv,ndshare,e_dvs,pr_dem,e_dem,pbias,egap
3978,1,727232, 2,565567,0.0005545359,0.9816,0.40221,75745,131523,16202, 825,274556,71319,2311,154751,49992,110742,12942, 718,234447,50921,1804,104001,117655,67467,139702,47879,120866,59839,107240,69203,161580,103070,57667,128677,64513,114051,103070,161580,1,1,129409,69490,0.6506,0.6535,1,2,0,-0.1179
3978,2,728039, 2,590338,0.0005545359,0.9816,0.07199,63178,182842, 5675,1496,257002,77735,2972,137139,43115,164882, 5117,1282,223821,54297,2420, 95404,149240,61379,166907,44768,155450,52193,137693,62524,204548, 93794,53065,158071,57352,146570, 93794,204548,1,1,162768,62934,0.7212,0.7238,1,2,0,-0.1179
3979,1,728098, 2,578238,0.0006356204,0.9740,0.26964,69875,121625,14741, 827,303905,68541,2282,146302,47070,106133,12148, 721,261757,49132,1795, 99482,121755,65603,141671,47174,123661,57916,110230,66812,168391,101021,56384,131712,62357,116944,101021,168391,1,1,133142,67704,0.6629,0.6657,1,2,0,-0.1179
3979,2,727173, 2,577667,0.0006356204,0.9740,0.06875,69048,192740, 7136,1494,227653,80513,3001,145588,46037,169491, 5911,1279,196511,56086,2429, 99923,145141,63243,164938,45473,152655,54115,134704,64915,197737, 95843,54348,155036,59507,143678, 95843,197737,1,1,159035,64720,0.7108,0.7134,1,2,0,-0.1179
3980,1,726364, 2,565964,0.0017474409,0.9808,0.29385,71462,104803,15877, 823,308398,77588,1962,145451,47145, 88643,12731, 711,262327,54500,1520, 98387,109626,61411,130020,42383,112453,53442, 99257,62855,149614, 98106,51892,119822,58139,105853, 98106,149614,1,1,120194,63638,0.6538,0.6578,1,2,0,-0.1179
3980,2,728907, 2,589941,0.0017474409,0.9808,0.06947,67461,209562, 6000,1498,223160,71466,3321,146439,45962,186981, 5328,1289,195941,50718,2704,101018,157270,67436,176589,50264,163863,58590,145676,68872,216514, 98758,58841,166925,63725,154768, 98758,216514,1,1,171983,68786,0.7143,0.7161,1,2,0,-0.1179
3981,1,727820, 2,569779,0.0002535610,0.9740,0.29405,71667,111539,16865, 844,312349,74411,2102,138043,47865, 94498,13621, 738,265953,52162,1638, 93304,106297,60028,125595,41724,109198,52410, 96532,61231,147218, 97007,50871,115946,56812,102864, 97007,147218,1,1,116968,62479,0.6518,0.6560,1,2,0,-0.1179
3981,2,727451, 2,586126,0.0002535610,0.9740,0.06958,67256,202826, 5012,1477,219209,74643,3181,153847,45242,181126, 4438,1262,192315,53056,2586,106101,160599,68819,181014,50923,167118,59622,148402,70495,218910, 99857,59862,170801,65053,157758, 99857,218910,1,1,175210,69945,0.7147,0.7164,1,2,0,-0.1179
3982,1,725990, 2,587613,0.0022614345,0.9784,0.26941,59708,137756,11603, 817,300413,73248,2363,140082,41377,120215, 9733, 725,263009,52339,1881, 98334,137313,65968,156931,48113,137457,58222,123583,66859,185264, 95960,57037,147120,62534,130521, 95960,185264,1,0,148111,67024,0.6885,0.6902,1,2,0,-0.1179
3982,2,729281, 2,568292,0.0022614345,0.9784,0.06917,79215,176609,10274,1504,231145,75806,2920,151808,51730,155409, 8326,1275,195259,52879,2343,101071,129583,62878,149677,44534,138859,53810,121350,64867,180864,100904,53695,139627,59330,130101,100904,180864,1,0,144066,65400,0.6878,0.6916,1,2,0,-0.1179
