draw,district,total_pop,chain,pop_overlap,total_vap,plan_dev,comp_edge,comp_polsby,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,gov_16_rep_gia,gov_16_dem_bul,atg_16_rep_fox,atg_16_dem_jen,sos_16_rep_sta,sos_16_dem_lin,uss_18_rep_ros,uss_18_dem_tes,pre_20_rep_tru,pre_20_dem_bid,uss_20_rep_dai,uss_20_dem_bul,gov_20_rep_gia,gov_20_dem_coo,atg_20_rep_knu,atg_20_dem_gra,sos_20_rep_jac,sos_20_dem_ben,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,county_splits,muni_splits,ndv,nrv,ndshare,e_dvs,pr_dem,e_dem,pbias,egap
3263,1,540589, 2,0.6843,425004,0.0028103023,0.9834,0.2954,20464,446301,2602,35458,4047,428,2406,28883,13912,360829,1970,23999,3329,337,1850,18778,138789, 89601,115345,129199,164750,80091,138246,101660,118053,128028,171404,123429,165984,136943,164212,125825,173794,124259,175945,120654,139283,100138,118053,128028,170268,126222,1,0,115969,152652,0.4317,0.4320,0.2,0.4,0,0.1586
3263,2,543636, 2,0.6843,425119,0.0028103023,0.9834,0.2970,24735,455017,2475,29134,4030,411,1968,25866,15996,366724,1811,18718,3337,305,1476,16752,140448, 88104,120767,126731,168014,78877,139224,103199,117908,125845,172194,121354,167185,135516,164332,125032,174525,122762,176990,118961,142113, 99229,117908,125845,171045,124725,1,0,114637,154158,0.4265,0.4267,0.2,0.4,0,0.1586
3264,1,544602, 2,0.6632,429528,0.0045922202,0.9872,0.2955,20970,456747,2681,27269,4300,455,2474,29706,14264,369264,2011,18802,3536,364,1896,19391,138963, 94513,115948,134555,167849,82943,138681,106803,119061,133049,172700,130199,167518,143786,165436,133003,175170,131188,178096,126910,140361,104703,119061,133049,171784,133018,0,0,121695,153942,0.4415,0.4417,0.2,0.4,0,0.1586
3264,2,539623, 2,0.6632,420595,0.0045922202,0.9872,0.3238,24229,444571,2396,37323,3777,384,1900,25043,15644,358289,1770,23915,3130,278,1430,16139,140274, 83192,120164,121375,164915,76024,138789, 98055,116900,120823,170899,114584,165651,128673,163108,117854,173149,115834,174840,112705,141035, 94663,116900,120823,169529,117930,0,0,108911,152868,0.4160,0.4163,0.2,0.4,0,0.1586
3265,1,540567, 2,0.7451,429325,0.0028508843,0.9731,0.1300,22224,451077,2022,31821,4227,356,2236,26604,15362,368160,1514,20953,3503,275,1753,17805,134516,100451,115415,138123,159914,93011,134405,112725,114056,140983,166313,139813,161157,153924,158887,142773,168952,140406,171071,136803,136063,111078,114056,140983,165276,142744,2,0,129901,148468,0.4666,0.4666,0.2,0.2,0,0.2550
3265,2,543658, 2,0.7451,420798,0.0028508843,0.9731,0.2563,22975,450241,3055,32771,3850,483,2138,28145,14546,359393,2267,21764,3163,367,1573,17725,144721, 77255,120697,117807,172849,65957,143065, 92134,121905,112890,177286,104970,172012,118535,169657,108085,179366,106616,181864,102812,145333, 88288,121905,112890,176037,108204,2,0,100706,158342,0.3888,0.3894,0.0,0.2,0,0.2550
3266,1,541460, 2,0.9643,432967,0.0012036247,0.9869,0.2234,22118,469018,1954,14002,4443,390,2449,27086,15380,382036,1443,10031,3659,300,1909,18209,134923, 99667,116136,136444,160347,91803,137295,108892,117056,139439,170515,141543,166062,155050,163882,143631,174114,140940,176329,137612,137176,109201,117056,139439,170180,143755,1,0,129502,151665,0.4606,0.4604,0.2,0.2,0,0.2549
3266,2,542765, 2,0.9643,417156,0.0012036247,0.9869,0.4796,23081,432300,3123,50590,3634,449,1925,27663,14528,345517,2338,32686,3007,342,1417,17321,144314, 78039,119976,119487,172417,67165,140175, 95967,118905,114433,173084,103240,167107,117409,164662,107227,174204,106081,176606,102003,144220, 90165,118905,114433,171133,107192,1,0,101104,155145,0.3946,0.3952,0.0,0.2,0,0.2549
3267,1,540769, 2,0.6027,422954,0.0024782679,0.9799,0.3198,20145,439437,2655,42740,4086,411,2212,29083,13625,354582,1993,28603,3345,325,1668,18813,140480, 86952,118177,124708,164303,78761,138403, 99944,117608,124122,170078,118168,164472,131554,162521,120792,172116,119158,173537,116073,140341, 97591,117608,124122,168545,121149,1,0,112023,152169,0.4240,0.4243,0.2,0.4,0,0.1586
3267,2,543456, 2,0.6027,427169,0.0024782679,0.9799,0.1959,25054,461881,2422,21852,3991,428,2162,25666,16283,372971,1788,14114,3321,317,1658,16717,138758, 90753,117935,131222,168461,80207,139067,104915,118354,129751,173520,126615,168698,140905,166023,130065,176203,127864,179398,123542,141055,101776,118354,129751,172768,129798,1,0,118583,154641,0.4340,0.4342,0.2,0.4,0,0.1586
3268,1,543677, 2,0.6000,427353,0.0028859323,0.9864,0.4421,20597,451159,2727,32540,4237,438,2236,29743,13995,364313,2053,22171,3478,356,1685,19302,135172, 94539,111776,135343,163756,83328,134266,107826,113846,133603,166280,129287,160816,143138,158755,132407,168337,130756,171334,126380,136243,105259,113846,133603,165105,132394,1,0,121661,148433,0.4504,0.4507,0.2,0.2,0,0.2578
3268,2,540548, 2,0.6000,422770,0.0028859323,0.9864,0.2747,24602,450159,2350,32052,3840,401,2138,25006,15913,363240,1728,20546,3188,286,1641,16228,144066, 83167,124336,120587,169008,75640,143204, 97032,122116,120270,177319,115496,172353,129321,169789,118451,179981,116265,181601,113235,145153, 94108,122116,120270,176208,118553,1,0,108946,158377,0.4075,0.4078,0.0,0.2,0,0.2578
3269,1,542136, 2,0.9891,432211,0.0000433489,0.9878,0.2084,22060,460613,1950,22999,4447,406,2425,27236,15338,375395,1438,15884,3669,309,1897,18281,132141,101012,113797,137143,157034,93506,134546,110082,114234,140417,166582,142696,162035,156304,160008,144720,170172,142165,172171,139061,134380,110436,114234,140417,166194,144989,2,0,130710,148272,0.4685,0.4684,0.2,0.2,0,0.2556
3269,2,542089, 2,0.9891,417912,0.0000433489,0.9878,0.5273,23139,440705,3127,41593,3630,433,1949,27513,14570,352158,2343,26833,2997,333,1429,17249,147096, 76694,122315,118787,175730,65462,142924, 94777,121727,113455,177016,102086,171134,116155,168536,106138,178147,104856,180764,100554,147016, 88931,121727,113455,175120,105958,2,0, 99896,158539,0.3865,0.3872,0.0,0.2,0,0.2556
3270,1,542933, 2,0.6007,426766,0.0015135235,0.9861,0.4130,20591,450457,2724,32539,4237,438,2235,29712,13991,363748,2053,22171,3478,356,1684,19285,134844, 94480,111472,135214,163368,83284,133914,107751,113548,133475,165884,129211,160422,143046,158368,132324,167951,130668,170944,126296,135900,105182,113548,133475,164714,132309,0,0,121575,148071,0.4509,0.4511,0.2,0.2,0,0.2580
